Cód_IBGE;Município;Sigla UF;Região;Mês/Ano;Vítimas
3514809;Eldorado;SP;SUDESTE;jan/18;0
3514908;Elias Fausto;SP;SUDESTE;jan/18;0
3514924;Elisiário;SP;SUDESTE;jan/18;0
3514957;Embaúba;SP;SUDESTE;jan/18;0
3515004;Embu Das Artes;SP;SUDESTE;jan/18;0
3515103;Embu-Guaçu;SP;SUDESTE;jan/18;2
3515129;Emilianópolis;SP;SUDESTE;jan/18;0
3515152;Engenheiro Coelho;SP;SUDESTE;jan/18;1
3515186;Espírito Santo Do Pinhal;SP;SUDESTE;jan/18;1
3515194;Espírito Santo Do Turvo;SP;SUDESTE;jan/18;0
3515202;Estrela D'Oeste;SP;SUDESTE;jan/18;0
3515301;Estrela Do Norte;SP;SUDESTE;jan/18;0
3515350;Euclides Da Cunha Paulista;SP;SUDESTE;jan/18;0
3515400;Fartura;SP;SUDESTE;jan/18;0
3515509;Fernandópolis;SP;SUDESTE;jan/18;0
3515608;Fernando Prestes;SP;SUDESTE;jan/18;0
3515657;Fernão;SP;SUDESTE;jan/18;0
3515707;Ferraz De Vasconcelos;SP;SUDESTE;jan/18;1
3515806;Flora Rica;SP;SUDESTE;jan/18;0
3515905;Floreal;SP;SUDESTE;jan/18;0
3516002;Flórida Paulista;SP;SUDESTE;jan/18;0
3516101;Florínea;SP;SUDESTE;jan/18;0
3516200;Franca;SP;SUDESTE;jan/18;0
3516309;Francisco Morato;SP;SUDESTE;jan/18;1
3516408;Franco Da Rocha;SP;SUDESTE;jan/18;0
3516507;Gabriel Monteiro;SP;SUDESTE;jan/18;0
3516606;Gália;SP;SUDESTE;jan/18;0
3516705;Garça;SP;SUDESTE;jan/18;0
3516804;Gastão Vidigal;SP;SUDESTE;jan/18;0
3516853;Gavião Peixoto;SP;SUDESTE;jan/18;0
3516903;General Salgado;SP;SUDESTE;jan/18;0
3517000;Getulina;SP;SUDESTE;jan/18;0
3517109;Glicério;SP;SUDESTE;jan/18;0
3517208;Guaiçara;SP;SUDESTE;jan/18;0
3517307;Guaimbê;SP;SUDESTE;jan/18;0
3517406;Guaíra;SP;SUDESTE;jan/18;0
3517505;Guapiaçu;SP;SUDESTE;jan/18;0
3517604;Guapiara;SP;SUDESTE;jan/18;0
3517703;Guará;SP;SUDESTE;jan/18;0
3517802;Guaraçaí;SP;SUDESTE;jan/18;0
3517901;Guaraci;SP;SUDESTE;jan/18;0
3518008;Guarani D'Oeste;SP;SUDESTE;jan/18;0
3518107;Guarantã;SP;SUDESTE;jan/18;0
3518206;Guararapes;SP;SUDESTE;jan/18;0
3518305;Guararema;SP;SUDESTE;jan/18;0
3518404;Guaratinguetá;SP;SUDESTE;jan/18;1
3518503;Guareí;SP;SUDESTE;jan/18;0
3518602;Guariba;SP;SUDESTE;jan/18;1
3518701;Guarujá;SP;SUDESTE;jan/18;6
3518800;Guarulhos;SP;SUDESTE;jan/18;10
3518859;Guatapará;SP;SUDESTE;jan/18;0
3518909;Guzolândia;SP;SUDESTE;jan/18;0
3519006;Herculândia;SP;SUDESTE;jan/18;0
3519055;Holambra;SP;SUDESTE;jan/18;0
3519071;Hortolândia;SP;SUDESTE;jan/18;2
3519105;Iacanga;SP;SUDESTE;jan/18;0
3519204;Iacri;SP;SUDESTE;jan/18;0
3519253;Iaras;SP;SUDESTE;jan/18;1
3519303;Ibaté;SP;SUDESTE;jan/18;0
3519402;Ibirá;SP;SUDESTE;jan/18;0
3519501;Ibirarema;SP;SUDESTE;jan/18;0
3519600;Ibitinga;SP;SUDESTE;jan/18;1
3519709;Ibiúna;SP;SUDESTE;jan/18;0
3519808;Icém;SP;SUDESTE;jan/18;1
3519907;Iepê;SP;SUDESTE;jan/18;0
3520004;Igaraçu Do Tietê;SP;SUDESTE;jan/18;0
3520103;Igarapava;SP;SUDESTE;jan/18;0
3520202;Igaratá;SP;SUDESTE;jan/18;0
3520301;Iguape;SP;SUDESTE;jan/18;1
3520400;Ilhabela;SP;SUDESTE;jan/18;0
3520426;Ilha Comprida;SP;SUDESTE;jan/18;0
3520442;Ilha Solteira;SP;SUDESTE;jan/18;0
3520509;Indaiatuba;SP;SUDESTE;jan/18;1
3520608;Indiana;SP;SUDESTE;jan/18;0
3520707;Indiaporã;SP;SUDESTE;jan/18;0
3520806;Inúbia Paulista;SP;SUDESTE;jan/18;0
3520905;Ipaussu;SP;SUDESTE;jan/18;0
3521002;Iperó;SP;SUDESTE;jan/18;0
3521101;Ipeúna;SP;SUDESTE;jan/18;0
3521150;Ipiguá;SP;SUDESTE;jan/18;0
3521200;Iporanga;SP;SUDESTE;jan/18;0
3521309;Ipuã;SP;SUDESTE;jan/18;0
3521408;Iracemápolis;SP;SUDESTE;jan/18;0
3521507;Irapuã;SP;SUDESTE;jan/18;0
3521606;Irapuru;SP;SUDESTE;jan/18;0
3521705;Itaberá;SP;SUDESTE;jan/18;0
